ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q27,Q1,Q2,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6_1,Q6_2,Q6_3,Q11_1,Q15_1,Q17_1,Q19_1,Q21_1,Q23_1,Q25_1,Q27_1,Q29_1,Q31_1,Q33_1,Q35_1,Q37_1,Q39_1,Q41_1,Q29,Q26
Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is the highest degree of
education you have completed?",Practical Experience?,Type of Organization you currently work in?,To what extent do you agree or disagree with the following? - The decisions I made reflected my preferences and goals.,To what extent do you agree or disagree with the following? - I will use Envision in the future if the opportunity arises.,To what extent do you agree or disagree with the following? - I would recommend Envision to a friend.,To what extent do you agree or disagree with the following? - Envision has increased my awareness of sustainable benefits.,To what extent do you agree or disagree with the following? - I mainly choose credits that enhance quality of life (health/wellbeing).,To what extent do you agree or disagree with the following? - I mainly choose credits that reduce project costs.,To what extent do you agree or disagree with the following? - Environmentally-related credits are just as important as financial and social benefits.,To what extent do you agree or disagree with the following? - High initial cost is still a barrier to sustainable construction.,"To what extent do you agree or disagree with the following? - Sustainability is equal parts about the environment, community wellbeing and finances.","In your opinion, rank the following barriers to sustainable construction (highest item at the top). - Lack of environmental prioritization among stakeholders","In your opinion, rank the following barriers to sustainable construction (highest item at the top). - High initial cost to construct","In your opinion, rank the following barriers to sustainable construction (highest item at the top). - Lack of sustainability awareness among the project team",Q11 - 1. We are approaching the limit of the number of people the Earth can support.,Q15 - 2. Humans have the right to modify the natural environment to suit their needs.,"Q17 - 3. When humans interfere with nature, it often produces disastrous consequences.",Q19 - 4. Human ingenuity will insure that we do not make the Earth unlivable.,Q21 - 5. Humans are seriously abusing the environment.,Q23 - 6. The Earth has plenty of natural resources if we just learn how to develop them.,Q25 - 7. Plants and animals have as much right as humans to exist.,Q27 - 8. The balance of nature is strong enough to cope with the impacts of modern industrial nations.,"Q29 - 9. Despite our special abilities, humans are still subject to the laws of nature.",Q31 - 10. The so-called “ecological crisis” facing humankind has been greatly exaggerated.,Q33 - 11. The Earth is like a spaceship with very limited room and resources.,Q35 - 12. Humans were meant to rule over the rest of nature.,Q37 - 13. The balance of nature is very delicate and easily upset.,Q39 - 14. Humans will eventually learn enough about how nature works to be able to control it.,"Q41 - 15. If things continue on their present course, we will soon experience a major ecological catastrophe.",What was the most interesting takeaway in this experience?,Name:
"{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID26_TEXT""}"
R_33kw82a035sVyQj,,,,,37.17909241,-80.35150146,anonymous,EN,2,2,3,4,3,3,1,3,4,4,4,4,2,1,3,1,4,5,4,3,4,4,3,5,4,2,4,2,1,4,Learning about another environmental rating system.,Mike
R_12eVal1nEHYgd5y,,,,,34.7756958,-82.37770081,anonymous,EN,2,2,4,5,5,5,5,5,4,5,1,4,1,3,2,5,2,4,4,3,4,4,2,3,2,4,5,4,4,5,Envision seems like a helpful decision making tool,greg schuler
R_1qVCfCstz8ISRe1,,,,,34.7756958,-82.37770081,anonymous,EN,3,1,4,5,5,5,3,4,2,4,2,2,1,3,2,5,3,3,4,4,4,4,2,5,2,2,4,5,3,3,Performance credits within Envision ,john woolpert
R_2PjLBFORoiO8HzX,,,,,34.7756958,-82.37770081,anonymous,EN,2,3,4,5,4,4,3,4,5,3,4,4,3,1,2,2,5,2,4,3,4,4,4,3,3,2,4,3,4,2,envision seems like a tool i could use in the future ,vin
R_1l9I5UQT8cUFOLf,,,,,34.7756958,-82.37770081,anonymous,EN,3,1,4,5,5,5,3,4,2,2,4,5,3,2,1,5,5,2,5,2,2,4,1,4,2,4,4,4,4,4,kk,connor schuler
R_2AHiJcAjHiF7cY6,,,,,34.7756958,-82.37770081,anonymous,EN,3,2,2,5,5,5,4,4,3,4,1,4,1,3,2,2,5,2,5,2,3,3,3,4,2,3,5,3,4,3,i could see using envision in the future ,rob fitzwater
R_5gM9Ljnh6YtwymR,,,,,34.7756958,-82.37770081,anonymous,EN,2,2,4,5,3,3,3,3,4,4,3,4,1,3,2,3,5,2,5,3,2,4,1,5,3,3,2,4,3,4,I can use Envision in the future with clients ,Ginger
R_2X4X9kHb7aUIvy4,,,,,34.7756958,-82.37770081,anonymous,EN,3,1,4,5,3,4,3,5,4,4,3,4,1,3,2,5,2,2,4,4,4,4,2,5,3,3,2,5,3,3,;;;;;,Carla